newco,parent,ex_date,size_tier,entry_offset_days,newco_1m,newco_3m,newco_6m,newco_12m,newco_18m,newco_24m,SPY_1m,excess_SPY_1m,SPY_3m,excess_SPY_3m,SPY_6m,excess_SPY_6m,SPY_12m,excess_SPY_12m,SPY_18m,excess_SPY_18m,SPY_24m,excess_SPY_24m,IWM_1m,excess_IWM_1m,IWM_3m,excess_IWM_3m,IWM_6m,excess_IWM_6m,IWM_12m,excess_IWM_12m,IWM_18m,excess_IWM_18m,IWM_24m,excess_IWM_24m,entry_strategy
GEHC,GE,2023-01-03,small,0,0.26160730239477226,0.45696434719344725,0.4133916548932095,0.3689702737699474,0.3660553372233397,0.4631607618119069,0.09442791294025144,0.16717938945452082,0.077227420843204,0.37973692635024325,0.16321985013225704,0.25017180476095247,0.24568581240275478,0.12328446136719262,0.489667909726925,-0.12361257250358526,0.6074828042309246,-0.1443220424190177,0.14371434531869776,0.1178929570760745,0.014977288927444654,0.4419870582660026,0.06091415305196879,0.3524775018412407,0.13441791394260583,0.23455235982734157,0.19025353046623028,0.17580180675710944,0.3295617785020277,0.13359898330987918,T+0
PHIN,BWA,2023-06-28,small,0,-0.26108116251173275,-0.3064794736143839,-0.15491058081363118,0.09784492498709407,0.3586474572633713,0.36328045001677967,0.04704507392374291,-0.30812623643547565,-0.02025075347170413,-0.28622872014267975,0.10023057931977108,-0.25514116013340227,0.26453892498501097,-0.1666939999979169,0.39146188244444047,-0.03281442518106914,0.4596217578199637,-0.09634130780318406,0.06604780470302907,-0.3271289672147618,-0.04039951713942769,-0.2660799564749562,0.12089325439946097,-0.27580383521309215,0.11625782371754712,-0.018412898730453042,0.23136284520730754,0.12728461205606378,0.22997039295072863,0.13331005706605104,T+0
KVUE,JNJ,2023-05-04,small,0,-0.06505569381383891,-0.1252785482247003,-0.2790356643046664,-0.26973299264803663,-0.10018269090724874,-0.04274611029844788,0.05422970891822376,-0.11928540273206267,0.10697744905673612,-0.23225599728143642,0.07097794440315686,-0.3500136087078233,0.2935369816651374,-0.563269974313174,0.435848333192171,-0.5360310240994197,0.43296909298219055,-0.47571520328063843,0.0538733206756592,-0.11892901448949811,0.14265080578055644,-0.26792935400525675,0.004341988106191463,-0.2833776524108579,0.2166629327208549,-0.48639592536889154,0.3174863373778123,-0.41766902828506103,0.21057468303069182,-0.2533207933291397,T+0
VLTO,DHR,2023-10-04,small,0,-0.0966579582690944,-0.014229455535120339,0.12175152810069356,0.44535997739452005,0.10331001730112388,0.3477454503993138,0.014364443121117176,-0.11102240139021158,0.10482397244105224,-0.11905342797617258,0.22956996677315233,-0.10781843867245877,0.36751313474726355,0.0778468426472565,0.19249766901979015,-0.08918765171866627,0.62602106423185,-0.2782756138325362,-0.007884900818771134,-0.08877305745032327,0.13614401057590841,-0.15037346611102875,0.20149865096660102,-0.07974712286590746,0.2958887256011977,0.14947125179332232,0.03915020521992951,0.06415981208119437,0.47475863624320547,-0.12701318584389165,T+0
SOLV,MMM,2024-03-26,small,0,-0.22712497711181645,-0.365625,-0.13474998474121092,-0.06562500000000004,-0.09737501144409177,-0.1837499618530274,-0.029529130280139926,-0.19759584683167652,0.05485609912331291,-0.4204810991233129,0.10567079399286317,-0.24042077873407408,0.08465944452367813,-0.15028444452367817,0.3029489001238155,-0.40032391156790725,0.284029442666053,-0.4677794045190804,-0.04235510789984054,-0.1847698692119759,-0.022330811740654766,-0.3432941882593452,0.06761500814370702,-0.20236499288491794,-0.011803565925552983,-0.05382143407444706,0.19784163061793558,-0.29521664206202736,0.23578808889045688,-0.41953805074348427,T+0
GEV,GE,2024-03-27,small,0,0.16624765557019483,0.3430857801383722,0.9140570803384591,1.3276909876693463,3.694091482617817,5.8426840779245115,-0.028499221226473748,0.19474687679666858,0.04771440561030027,0.29537137452807194,0.10080353462260327,0.8132535457158558,0.08284062595621355,1.2448503617131328,0.29695766551618785,3.397133817101629,0.28292259331136105,5.5597614846131505,-0.053806514312333076,0.2200541698825279,-0.0334665336152119,0.3765523137535841,0.05041883675226466,0.8636382435861945,-0.037505850766571314,1.3651968384359177,0.1739506385055971,3.5201408441122197,0.21704606422932482,5.625638013695187,T+0
HPE,HPQ,2015-10-19,large,21,0.0863765970959669,0.03778953921555028,0.20225787552614194,0.802480211639792,0.9052731180322733,0.7741490030314506,-0.0029685542017676703,0.08934515129773457,-0.05999560554634498,0.09778514476189526,0.004889934491529413,0.19736794103461253,0.08318138646603734,0.7192988251737547,0.19697077900441062,0.7083023390278627,0.3117950600755046,0.462353942955946,-0.012215216361492809,0.09859181345745971,-0.11974547420015991,0.1575350134157102,-0.04230428559980848,0.24456216112595042,0.1479998478139688,0.6544803638258232,0.2139727972806582,0.6913003207516151,0.32764745175699006,0.44650155127446056,T+21
LW,CAG,2016-11-10,small,21,0.00626176942848522,0.15922379713568557,0.25316419774277765,0.5446648667331868,0.8359383891661292,1.177317706338139,0.007138962094104029,-0.0008771926656188089,0.06235740697961312,0.09686639015607246,0.09060068611227656,0.1625635116305011,0.20299824464632854,0.3416666220868583,0.2683685111237879,0.5675698780423413,0.2184872371487525,0.9588304691893865,-0.007395321330144422,0.013657090758629642,0.010581359945224023,0.14864243719046155,0.03946707063307664,0.213697127109701,0.11775222266083318,0.42691264407235363,0.25039272241838173,0.5855456667477474,0.07081778365051328,1.1064999226876258,T+21
ADNT,JCI,2016-10-17,small,21,0.1795891427329519,0.35582545869329385,0.4433663665304526,0.574032730201893,0.19600970360234737,-0.49190461253707196,0.03907844128309912,0.14051070144985278,0.08165430870879709,0.27417114998449676,0.09584811056893305,0.34751825596151953,0.19859431860254761,0.37543841159934543,0.27977682539615323,-0.08376712179380585,0.29938620957126694,-0.7912908221083389,0.05102252111233918,0.12856662162061272,0.07892045455300134,0.2769050041402925,0.052334002444715866,0.3910323640857367,0.139651908893355,0.43438082130853806,0.274475749482892,-0.07846604588054462,0.20095868036872888,-0.6928632929058008,T+21
PK,HLT,2017-01-04,small,21,-0.022246844577477387,-0.013433637755388084,0.0126721194914714,0.07005028051440187,0.34663887354851664,0.3024465257950504,0.03340011234038909,-0.055646956917866475,0.04972021633038404,-0.06315385408577212,0.08876848100736145,-0.07609636151589005,0.17319754669797627,-0.1031472661835744,0.27602784173675876,0.07061103181175787,0.23538717631915773,0.06705934947589265,-0.0005111362279773823,-0.021735708349500005,0.018413173980693198,-0.03184681173608128,0.031790544950096145,-0.019118425458624744,0.09529776580570637,-0.025247485291304494,0.24630562440783477,0.10033324914068187,0.1309778915583646,0.1714686342366858,T+21
